actor_key,actor_name,month,n_articles,n_unique_articles,n_direct_conflict_relevance,n_physical_violence,n_fatalities_present,n_context_cbt,n_context_civ,n_context_pol,n_context_other,share_direct_conflict_relevance_raw,share_physical_violence_raw,share_fatalities_present_raw,share_context_cbt_raw,share_context_civ_raw,share_context_pol_raw,share_context_other_raw,log1p_n_articles,y_ucdp_actor_fatalities,n_ucdp_actor_events,log1p_y_ucdp_actor_fatalities,y_ucdp_actor_fatalities_next,log1p_y_ucdp_actor_fatalities_next,log1p_y_ucdp_actor_fatalities_lag1,log1p_y_ucdp_actor_fatalities_lag2,period_start,year,month_of_year,period_index,time_years,taliban_transition_month,taliban_post_takeover,hamas_post_oct2023,taliban_outcome_transition_aug2021,taliban_outcome_post_takeover,hamas_outcome_post_oct2023
209,Hamas,2024-06,2350.0,2350.0,1914.0,1081.0,907.0,955.0,125.0,1111.0,159.0,0.814468085106383,0.46,0.38595744680851063,0.40638297872340423,0.05319148936170213,0.4727659574468085,0.06765957446808511,7.762596048540069,1504.0,214.0,7.316548177182976,1730.0,7.456454555176209,7.275864600546533,7.037027614686276,2024-06-01,2024,6,53,4.416666666666667,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2024-07,2704.0,2704.0,2340.0,1466.0,1333.0,1212.0,104.0,1256.0,132.0,0.8653846153846154,0.5421597633136095,0.49297337278106507,0.44822485207100593,0.038461538461538464,0.46449704142011833,0.04881656804733728,7.902857191280582,1730.0,264.0,7.456454555176209,1447.0,7.277938572945661,7.316548177182976,7.275864600546533,2024-07-01,2024,7,54,4.5,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2024-08,3971.0,3971.0,3423.0,1667.0,1431.0,1453.0,96.0,2248.0,174.0,0.8619994963485268,0.419793502895996,0.36036262906069,0.36590279526567615,0.024175270712666834,0.5661042558549484,0.04381767816670864,8.287025025165063,1447.0,273.0,7.277938572945661,1002.0,6.910750787961936,7.456454555176209,7.316548177182976,2024-08-01,2024,8,55,4.583333333333333,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2024-09,2630.0,2630.0,2230.0,1337.0,1225.0,1171.0,139.0,1116.0,204.0,0.8479087452471483,0.5083650190114068,0.46577946768060835,0.4452471482889734,0.05285171102661597,0.42433460076045626,0.07756653992395438,7.875119281040293,1002.0,242.0,6.910750787961936,2032.0,7.617267813628347,7.277938572945661,7.456454555176209,2024-09-01,2024,9,56,4.666666666666667,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2024-10,4318.0,4318.0,3473.0,2236.0,1895.0,2039.0,158.0,1853.0,268.0,0.8043075497915702,0.5178323297823066,0.43886058360352015,0.47220935618341825,0.036591014358499305,0.42913385826771655,0.06206577119036591,8.3707791729607,2032.0,262.0,7.617267813628347,1392.0,7.239214973779806,6.910750787961936,7.277938572945661,2024-10-01,2024,10,57,4.75,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2024-11,1284.0,1284.0,1064.0,513.0,423.0,493.0,46.0,668.0,77.0,0.8286604361370716,0.39953271028037385,0.3294392523364486,0.3839563862928349,0.03582554517133956,0.5202492211838006,0.05996884735202492,7.158513997329321,1392.0,288.0,7.239214973779806,1322.0,7.187657164114956,7.617267813628347,6.910750787961936,2024-11-01,2024,11,58,4.833333333333333,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2024-12,1322.0,1322.0,1013.0,569.0,466.0,514.0,74.0,661.0,73.0,0.7662632375189108,0.43040847201210286,0.3524962178517398,0.3888048411497731,0.05597579425113464,0.5,0.05521936459909228,7.187657164114956,1322.0,280.0,7.187657164114956,893.0,6.795705775173514,7.239214973779806,7.617267813628347,2024-12-01,2024,12,59,4.916666666666667,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2025-01,1894.0,1894.0,1562.0,690.0,575.0,595.0,67.0,1147.0,85.0,0.8247096092925026,0.36430834213305174,0.30359028511087643,0.31414994720168954,0.03537486800422387,0.6055966209081309,0.04487856388595565,7.546974117516527,893.0,251.0,6.795705775173514,44.0,3.8066624897703196,7.187657164114956,7.239214973779806,2025-01-01,2025,1,60,5.0,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2025-02,1590.0,1590.0,1333.0,551.0,462.0,413.0,115.0,985.0,77.0,0.8383647798742139,0.34654088050314463,0.29056603773584905,0.259748427672956,0.07232704402515723,0.6194968553459119,0.048427672955974846,7.372118028337787,44.0,38.0,3.8066624897703196,1031.0,6.939253946041508,6.795705775173514,7.187657164114956,2025-02-01,2025,2,61,5.083333333333333,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2025-03,1828.0,1828.0,1545.0,925.0,788.0,825.0,69.0,796.0,138.0,0.8451859956236324,0.5060175054704595,0.4310722100656455,0.4513129102844639,0.03774617067833698,0.43544857768052514,0.07549234135667396,7.511524648390866,1031.0,227.0,6.939253946041508,1287.0,7.160845906664299,3.8066624897703196,6.795705775173514,2025-03-01,2025,3,62,5.166666666666667,0.0,0.0,1.0,0.0,0.0,1.0
