group,specification,history,minimum_articles,hac_lags,variable,n,n_hamas,n_taliban,n_farc,estimator,estimate,standard_error,p_value,ci_low,ci_high,uncertainty,joint_mle_success,fdr_p
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,physical_violence,277,124,144,9,direct,0.517652152540701,0.3638381814617922,0.1548075406867198,-0.19547068312441174,1.2307749882058137,conditional actor-specific HAC,,0.3452170493517406
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,physical_violence,277,124,144,9,bca,0.5647037688033766,0.3638381814617922,0.12064452675328359,-0.14841906686173612,1.2778266044684892,conditional actor-specific HAC,,0.2763246833180315
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,physical_violence,277,124,144,9,bcm,0.5694080868444044,0.3638381814617922,0.11758205035291057,-0.14371474882070834,1.2825309225095172,conditional actor-specific HAC,,0.26883907712836486
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,physical_violence,277,124,144,9,joint_mle,0.5620469465226751,0.33186314467286593,0.09033929848484765,-0.08840481703614211,1.2124987100814923,inverse integrated-likelihood information,True,0.26042071285188506
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,fatalities_present,277,124,144,9,naive,0.2372751493762707,0.5737792989406364,0.6792180972812761,-0.8873322765473767,1.361882575299918,conditional actor-specific HAC,,0.6792180972812761
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,fatalities_present,277,124,144,9,direct,0.21912319835690208,0.4357449447790432,0.6150554518799092,-0.6349368934100226,1.0731832901238267,conditional actor-specific HAC,,0.6150554518799092
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,fatalities_present,277,124,144,9,bca,0.2440252770451558,0.4357449447790432,0.575466745988047,-0.6100348147217689,1.0980853688120804,conditional actor-specific HAC,,0.575466745988047
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,fatalities_present,277,124,144,9,bcm,0.2472180993502374,0.4357449447790432,0.5704792112772499,-0.6068419924166872,1.101278191117162,conditional actor-specific HAC,,0.5704792112772499
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,fatalities_present,277,124,144,9,joint_mle,0.19909912718022432,0.39497103440677456,0.614201374481174,-0.5750441002570539,0.9732423546175024,inverse integrated-likelihood information,True,0.614201374481174
Temporal aggregation,One week,approximately 12 weeks,10,13,direct_conflict_relevance,719,287,304,128,naive,0.5021619426871435,0.3654538241830142,0.1694175680426585,-0.21412755271156425,1.2184514380858513,conditional actor-specific HAC,,0.25412635206398776
Temporal aggregation,One week,approximately 12 weeks,10,13,direct_conflict_relevance,719,287,304,128,direct,0.3416763804644149,0.2508201594294337,0.17312325477307922,-0.14993113201727515,0.8332838929461049,conditional actor-specific HAC,,0.2596848821596188
