actor_key,actor_name,period_start,period_end,period_index,n_articles,n_unique_articles,n_direct_conflict_relevance,n_physical_violence,n_fatalities_present,n_context_three_violent,n_context_three_pol,n_context_three_other,y_ucdp_actor_fatalities,n_ucdp_actor_events,log1p_y_ucdp_actor_fatalities,log1p_n_articles,share_direct_conflict_relevance_raw,share_physical_violence_raw,share_fatalities_present_raw,share_context_three_violent_raw,share_context_three_pol_raw,share_context_three_other_raw,log1p_y_ucdp_actor_fatalities_next,y_ucdp_actor_fatalities_next,log1p_y_ucdp_actor_fatalities_lag1,log1p_y_ucdp_actor_fatalities_lag2,outcome_period_start,outcome_period_end,time_years,taliban_outcome_transition_aug2021,taliban_outcome_post_takeover,hamas_outcome_post_oct2023,month,share_direct_conflict_relevance_calibrated,share_physical_violence_calibrated,share_fatalities_present_calibrated
209,Hamas,2022-09-05,2022-10-03,38,62.0,62.0,42.0,23.0,18.0,23.0,31.0,8.0,1.0,1.0,0.6931471805599453,4.143134726391533,0.6774193548387096,0.3709677419354839,0.2903225806451613,0.3709677419354839,0.5,0.12903225806451613,1.791759469228055,5.0,0.0,0.0,2022-10-03,2022-10-31,2.9130732375085557,0.0,0.0,0.0,2022-09-05,0.6967159397072744,0.2814305343034694,0.20268341421638597
209,Hamas,2022-10-03,2022-10-31,39,95.0,95.0,74.0,41.0,33.0,42.0,45.0,8.0,5.0,3.0,1.791759469228055,4.564348191467836,0.7789473684210526,0.43157894736842106,0.3473684210526316,0.4421052631578947,0.47368421052631576,0.08421052631578947,1.0986122886681098,2.0,0.6931471805599453,0.0,2022-10-31,2022-11-28,2.9897330595482545,0.0,0.0,0.0,2022-10-03,0.8525602946417964,0.36829877209965867,0.27728613569321536
209,Hamas,2022-10-31,2022-11-28,40,61.0,61.0,36.0,22.0,13.0,21.0,37.0,3.0,2.0,1.0,1.0986122886681098,4.127134385045092,0.5901639344262295,0.36065573770491804,0.21311475409836064,0.3442622950819672,0.6065573770491803,0.04918032786885246,0.6931471805599453,1.0,1.791759469228055,0.6931471805599453,2022-11-28,2022-12-26,3.0663928815879533,0.0,0.0,0.0,2022-10-31,0.5627798541982756,0.26665132591687435,0.10171349356029465
209,Hamas,2022-11-28,2022-12-26,41,93.0,93.0,55.0,41.0,20.0,42.0,45.0,6.0,1.0,1.0,0.6931471805599453,4.543294782270004,0.5913978494623656,0.44086021505376344,0.21505376344086022,0.45161290322580644,0.4838709677419355,0.06451612903225806,1.3862943611198906,3.0,1.0986122886681098,1.791759469228055,2022-12-26,2023-01-23,3.143052703627652,0.0,0.0,0.0,2022-11-28,0.5646738998519382,0.3816007244792805,0.10424926782334719
209,Hamas,2022-12-26,2023-01-23,42,116.0,116.0,88.0,23.0,17.0,27.0,82.0,7.0,3.0,1.0,1.3862943611198906,4.762173934797756,0.7586206896551724,0.19827586206896552,0.14655172413793102,0.23275862068965517,0.7068965517241379,0.0603448275862069,1.9459101490553132,6.0,0.6931471805599453,1.0986122886681098,2023-01-23,2023-02-20,3.2197125256673513,0.0,0.0,0.0,2022-12-26,0.8213590721569237,0.03392779650832863,0.014664496660224452
209,Hamas,2023-01-23,2023-02-20,43,255.0,255.0,212.0,148.0,118.0,149.0,92.0,14.0,6.0,2.0,1.9459101490553132,5.545177444479562,0.8313725490196079,0.5803921568627451,0.4627450980392157,0.5843137254901961,0.3607843137254902,0.054901960784313725,2.4849066497880004,11.0,1.3862943611198906,0.6931471805599453,2023-02-20,2023-03-20,3.29637234770705,0.0,0.0,0.0,2023-01-23,0.9330323551542514,0.581578497807642,0.42817205544951514
209,Hamas,2023-02-20,2023-03-20,44,196.0,196.0,154.0,123.0,98.0,125.0,59.0,12.0,11.0,4.0,2.4849066497880004,5.2832037287379885,0.7857142857142857,0.6275510204081632,0.5,0.6377551020408163,0.3010204081632653,0.061224489795918366,0.0,0.0,1.9459101490553132,1.3862943611198906,2023-03-20,2023-04-17,3.373032169746749,0.0,0.0,0.0,2023-02-20,0.8629474363108675,0.6491667819112156,0.4768928220255654
209,Hamas,2023-03-20,2023-04-17,45,486.0,486.0,438.0,343.0,137.0,345.0,119.0,22.0,0.0,0.0,0.0,6.18826412308259,0.9012345679012346,0.7057613168724279,0.28189300411522633,0.7098765432098766,0.2448559670781893,0.04526748971193416,1.9459101490553132,6.0,2.4849066497880004,1.9459101490553132,2023-04-17,2023-05-15,3.4496919917864477,0.0,0.0,0.0,2023-03-20,1.0,0.7612581119357498,0.19165948424115145
209,Hamas,2023-04-17,2023-05-15,46,362.0,362.0,294.0,195.0,145.0,195.0,136.0,31.0,6.0,3.0,1.9459101490553132,5.8944028342648505,0.8121546961325967,0.5386740331491713,0.4005524861878453,0.5386740331491713,0.3756906077348066,0.0856353591160221,0.0,0.0,0.0,2.4849066497880004,2023-05-15,2023-06-12,3.5263518138261465,0.0,0.0,0.0,2023-04-17,0.903533167878478,0.5217879052055645,0.3468385512584407
209,Hamas,2023-05-15,2023-06-12,47,191.0,191.0,136.0,50.0,38.0,55.0,104.0,32.0,0.0,0.0,0.0,5.2574953720277815,0.7120418848167539,0.2617801047120419,0.19895287958115182,0.2879581151832461,0.5445026178010471,0.16753926701570682,2.0794415416798357,7.0,1.9459101490553132,0.0,2023-06-12,2023-07-10,3.6030116358658453,0.0,0.0,0.0,2023-05-15,0.7498611324500963,0.12494234755680352,0.08319304802648174
