actor_key,actor_name,period_start,period_index,n_articles
group:farc_bloc,FARC family,2020-07-13,20,21.0
group:farc_bloc,FARC family,2020-07-27,21,20.0
group:farc_bloc,FARC family,2020-08-10,22,27.0
group:farc_bloc,FARC family,2020-08-24,23,28.0
group:farc_bloc,FARC family,2020-09-21,25,31.0
group:farc_bloc,FARC family,2020-10-05,26,36.0
group:farc_bloc,FARC family,2020-11-16,29,31.0
group:farc_bloc,FARC family,2020-12-28,32,27.0
group:farc_bloc,FARC family,2021-01-25,34,20.0
group:farc_bloc,FARC family,2021-02-08,35,23.0
group:farc_bloc,FARC family,2021-02-22,36,24.0
group:farc_bloc,FARC family,2021-03-08,37,28.0
group:farc_bloc,FARC family,2021-03-22,38,46.0
group:farc_bloc,FARC family,2021-04-05,39,35.0
group:farc_bloc,FARC family,2021-04-19,40,21.0
group:farc_bloc,FARC family,2021-05-17,42,40.0
group:farc_bloc,FARC family,2021-10-04,52,20.0
group:farc_bloc,FARC family,2021-11-29,56,30.0
group:farc_bloc,FARC family,2021-12-27,58,25.0
group:farc_bloc,FARC family,2022-01-10,59,26.0
group:farc_bloc,FARC family,2022-01-24,60,36.0
group:farc_bloc,FARC family,2022-02-21,62,25.0
group:farc_bloc,FARC family,2022-03-21,64,24.0
group:farc_bloc,FARC family,2022-06-27,71,24.0
group:farc_bloc,FARC family,2022-07-11,72,22.0
group:farc_bloc,FARC family,2022-07-25,73,20.0
group:farc_bloc,FARC family,2022-11-28,82,30.0
group:farc_bloc,FARC family,2023-05-15,94,47.0
group:farc_bloc,FARC family,2023-07-10,98,24.0
group:farc_bloc,FARC family,2023-07-24,99,42.0
group:farc_bloc,FARC family,2023-08-07,100,35.0
group:farc_bloc,FARC family,2023-09-04,102,32.0
group:farc_bloc,FARC family,2023-09-18,103,20.0
group:farc_bloc,FARC family,2023-12-25,110,22.0
group:farc_bloc,FARC family,2024-01-08,111,24.0
group:farc_bloc,FARC family,2024-03-04,115,21.0
group:farc_bloc,FARC family,2024-03-18,116,31.0
group:farc_bloc,FARC family,2024-04-01,117,30.0
group:farc_bloc,FARC family,2024-04-15,118,22.0
group:farc_bloc,FARC family,2024-04-29,119,26.0
group:farc_bloc,FARC family,2024-05-13,120,48.0
group:farc_bloc,FARC family,2024-05-27,121,20.0
group:farc_bloc,FARC family,2024-06-10,122,34.0
group:farc_bloc,FARC family,2024-07-08,124,27.0
group:farc_bloc,FARC family,2024-09-30,130,26.0
group:farc_bloc,FARC family,2025-01-06,137,44.0
group:farc_bloc,FARC family,2025-01-20,138,79.0
group:farc_bloc,FARC family,2025-02-03,139,34.0
group:farc_bloc,FARC family,2025-02-17,140,27.0
group:farc_bloc,FARC family,2025-03-03,141,29.0
group:farc_bloc,FARC family,2025-03-17,142,23.0
group:farc_bloc,FARC family,2025-04-14,144,32.0
group:farc_bloc,FARC family,2025-04-28,145,39.0
group:farc_bloc,FARC family,2025-05-12,146,26.0
group:farc_bloc,FARC family,2025-07-07,150,23.0
group:farc_bloc,FARC family,2025-07-21,151,26.0
group:farc_bloc,FARC family,2025-08-04,152,43.0
group:farc_bloc,FARC family,2025-08-18,153,33.0
group:farc_bloc,FARC family,2025-09-01,154,29.0
group:farc_bloc,FARC family,2025-11-10,159,56.0
