month,period_start,regime,y_ucdp_actor_fatalities_next,next_month_outcome_available,n_articles,share_conflict_relevance_direct_all,share_conflict_relevance_direct_clear,share_conflict_relevance_direct_unresolved,share_event_context_cbt_all,share_event_context_cbt_clear,share_event_context_cbt_unresolved,share_event_modality_realized_all,share_event_modality_realized_clear,share_event_modality_realized_unresolved,share_matched_actor_role_perpetrator_all,share_matched_actor_role_perpetrator_clear,share_matched_actor_role_perpetrator_unresolved,share_event_time_relation_current_or_recent_all,share_event_time_relation_current_or_recent_clear,share_event_time_relation_current_or_recent_unresolved,share_physical_violence_occurred_all,share_physical_violence_occurred_clear,share_physical_violence_occurred_unresolved,share_fatalities_present_all,share_fatalities_present_clear,share_fatalities_present_unresolved,share_injuries_present_all,share_injuries_present_clear,share_injuries_present_unresolved,share_any_matched_actor_mentioned_all,share_any_matched_actor_mentioned_clear,share_any_matched_actor_mentioned_unresolved,share_any_physical_violence_mentioned_all,share_any_physical_violence_mentioned_clear,share_any_physical_violence_mentioned_unresolved,share_any_fatalities_mentioned_all,share_any_fatalities_mentioned_clear,share_any_fatalities_mentioned_unresolved,share_any_injuries_mentioned_all,share_any_injuries_mentioned_clear,share_any_injuries_mentioned_unresolved,share_any_weapon_mentioned_all,share_any_weapon_mentioned_clear,share_any_weapon_mentioned_unresolved,log1p_n_articles,log1p_actor_linked_fatalities_next
2021-03,2021-03-01,Pre-takeover,2812.0,True,269,0.8104089219330854,0.8134328358208955,0.0037174721189591076,0.37174721189591076,0.3875968992248062,0.040892193308550186,0.9516728624535316,0.9961089494163424,0.04460966542750929,0.483271375464684,0.5038759689922481,0.040892193308550186,0.6951672862453532,0.7164750957854407,0.02973977695167286,0.45353159851301117,0.46923076923076923,0.03345724907063197,0.379182156133829,0.4015748031496063,0.055762081784386616,0.2527881040892193,0.27530364372469635,0.08178438661710037,0.9591078066914498,0.9626865671641791,0.0037174721189591076,0.8661710037174721,0.8726591760299626,0.007434944237918215,0.5204460966542751,0.5426356589147286,0.040892193308550186,0.35315985130111527,0.3958333333333333,0.10780669144981413,0.4795539033457249,0.5466101694915254,0.12267657992565056,5.598421958998375,7.9420068084898565
2021-04,2021-04-01,Pre-takeover,4882.0,True,360,0.8111111111111111,0.8156424581005587,0.005555555555555556,0.40555555555555556,0.42441860465116277,0.044444444444444446,0.9555555555555556,1.0,0.044444444444444446,0.45555555555555555,0.478134110787172,0.04722222222222222,0.6194444444444445,0.6389684813753582,0.030555555555555555,0.44722222222222224,0.46938775510204084,0.04722222222222222,0.41388888888888886,0.430635838150289,0.03888888888888889,0.29444444444444445,0.3183183183183183,0.075,0.9416666666666667,0.946927374301676,0.005555555555555556,0.8,0.8044692737430168,0.005555555555555556,0.625,0.6338028169014085,0.013888888888888888,0.3861111111111111,0.42507645259938837,0.09166666666666666,0.4527777777777778,0.49393939393939396,0.08333333333333333,5.8888779583328805,8.49351506406166
2021-05,2021-05-01,Pre-takeover,7603.0,True,567,0.8835978835978836,0.8882978723404256,0.005291005291005291,0.5661375661375662,0.5879120879120879,0.037037037037037035,0.9629629629629629,1.0,0.037037037037037035,0.582010582010582,0.609981515711645,0.04585537918871252,0.8483245149911817,0.8777372262773723,0.03350970017636684,0.6631393298059964,0.6911764705882353,0.04056437389770723,0.5608465608465608,0.594392523364486,0.0564373897707231,0.35802469135802467,0.40681362725450904,0.11992945326278659,0.9541446208112875,0.9558303886925795,0.001763668430335097,0.9065255731922398,0.9145907473309609,0.008818342151675485,0.7195767195767195,0.7298747763864043,0.014109347442680775,0.42328042328042326,0.4897959183673469,0.13580246913580246,0.527336860670194,0.5783365570599613,0.08818342151675485,6.342121418721152,8.93642970360832
2021-06,2021-06-01,Pre-takeover,8431.0,True,675,0.8503703703703703,0.8618618618618619,0.013333333333333334,0.5155555555555555,0.5497630331753555,0.06222222222222222,0.9333333333333333,0.9968354430379747,0.0637037037037037,0.5955555555555555,0.6340694006309149,0.06074074074074074,0.8192592592592592,0.865414710485133,0.05333333333333334,0.5792592592592593,0.6206349206349207,0.06666666666666667,0.3925925925925926,0.43300653594771243,0.09333333333333334,0.2696296296296296,0.3079526226734349,0.12444444444444444,0.9466666666666667,0.9537313432835821,0.007407407407407408,0.8903703703703704,0.9037593984962407,0.014814814814814815,0.5214814814814814,0.5457364341085271,0.044444444444444446,0.3466666666666667,0.4006849315068493,0.1348148148148148,0.4222222222222222,0.47818791946308725,0.11703703703703704,6.516193076042964,9.039789270781144
2021-07,2021-07-01,Pre-takeover,4899.0,True,2000,0.8585,0.863682092555332,0.006,0.495,0.5205047318611987,0.049,0.95,0.9989484752891693,0.049,0.611,0.6424815983175605,0.049,0.8435,0.8837087480356207,0.0455,0.553,0.5895522388059702,0.062,0.3315,0.35626007522837183,0.0695,0.1695,0.20035460992907803,0.154,0.9545,0.9588146659969864,0.0045,0.876,0.8897917724733367,0.0155,0.463,0.477319587628866,0.03,0.2275,0.2744270205066345,0.171,0.408,0.4556113902847571,0.1045,7.601402334583733,8.496990484098719
2021-08,2021-08-01,Transition month,508.0,True,199,0.8190954773869347,0.8274111675126904,0.010050251256281407,0.507537688442211,0.531578947368421,0.04522613065326633,0.9447236180904522,0.9947089947089947,0.05025125628140704,0.5728643216080402,0.5968586387434555,0.04020100502512563,0.8190954773869347,0.844559585492228,0.03015075376884422,0.5527638190954773,0.5913978494623656,0.06532663316582915,0.34673366834170855,0.3812154696132597,0.09045226130653267,0.24120603015075376,0.2926829268292683,0.17587939698492464,0.9698492462311558,0.9796954314720813,0.010050251256281407,0.8442211055276382,0.8704663212435233,0.03015075376884422,0.5326633165829145,0.5638297872340425,0.05527638190954774,0.2964824120603015,0.3597560975609756,0.17587939698492464,0.47738693467336685,0.5248618784530387,0.09045226130653267,5.298317366548036,6.2324480165505225
2021-09,2021-09-01,Post-takeover,89.0,True,2262,0.7396109637488948,0.7458760588497548,0.008399646330680813,0.3001768346595933,0.3248803827751196,0.07603890362511052,0.9244031830238727,0.9980906921241051,0.07382847038019452,0.5167992926613616,0.5527186761229315,0.0649867374005305,0.735632183908046,0.7845355964167845,0.0623342175066313,0.4425287356321839,0.48404255319148937,0.08576480990274093,0.30548187444739167,0.33674463937621835,0.09283819628647215,0.15207780725022105,0.1855447680690399,0.18037135278514588,0.9283819628647215,0.9304386353566682,0.0022104332449160036,0.7519893899204244,0.7658712291760468,0.018125552608311227,0.47170645446507514,0.48788294467306814,0.033156498673740056,0.19805481874447392,0.24203133441383037,0.1816976127320955,0.42219274977895666,0.45454545454545453,0.07117595048629531,7.724446645633537,4.499809670330265
2021-10,2021-10-01,Post-takeover,61.0,True,981,0.7359836901121305,0.7405128205128205,0.0061162079510703364,0.3180428134556575,0.35095613048368957,0.09378185524974515,0.9041794087665648,1.0,0.09582059123343527,0.46992864424057085,0.5162374020156775,0.08970438328236494,0.7206931702344547,0.7873051224944321,0.08460754332313965,0.4597349643221203,0.5101809954751131,0.09887869520897044,0.37716615698267075,0.42528735632183906,0.11314984709480122,0.2854230377166157,0.3349282296650718,0.14780835881753313,0.9153924566768603,0.9191402251791198,0.004077471967380225,0.7420998980632009,0.7544041450777202,0.0163098878695209,0.5749235474006116,0.586888657648283,0.020387359836901122,0.3343527013251784,0.37831603229527105,0.1162079510703364,0.47196738022426094,0.512735326688815,0.07951070336391437,6.889591308354466,4.127134385045092
2021-11,2021-11-01,Post-takeover,18.0,True,591,0.6717428087986463,0.6786324786324787,0.01015228426395939,0.3197969543147208,0.35526315789473684,0.09983079526226735,0.8950930626057529,0.9981132075471698,0.10321489001692047,0.3824027072758037,0.41697416974169743,0.0829103214890017,0.6582064297800339,0.7047101449275363,0.06598984771573604,0.41624365482233505,0.45640074211502785,0.08798646362098139,0.3587140439932318,0.4007561436672968,0.10490693739424704,0.23688663282571912,0.28629856850715746,0.17258883248730963,0.9238578680203046,0.9301533219761499,0.00676818950930626,0.7292724196277496,0.7329931972789115,0.005076142131979695,0.5279187817258884,0.538860103626943,0.02030456852791878,0.31810490693739424,0.3745019920318725,0.1505922165820643,0.42978003384094754,0.4643510054844607,0.07445008460236886,6.3835066348840055,2.9444389791664403
2021-12,2021-12-01,Post-takeover,35.0,True,469,0.650319829424307,0.6573275862068966,0.010660980810234541,0.22174840085287847,0.25,0.11300639658848614,0.8891257995735607,1.0,0.11087420042643924,0.44562899786780386,0.48717948717948717,0.08528784648187633,0.5735607675906184,0.619815668202765,0.07462686567164178,0.3624733475479744,0.4009433962264151,0.09594882729211088,0.19402985074626866,0.21927710843373494,0.11513859275053305,0.10874200426439233,0.13246753246753246,0.1791044776119403,0.9125799573560768,0.9164882226980728,0.0042643923240938165,0.6844349680170576,0.6903225806451613,0.008528784648187633,0.3795309168443497,0.39555555555555555,0.04051172707889126,0.16204690831556504,0.19240506329113924,0.15778251599147122,0.3304904051172708,0.3538812785388128,0.06609808102345416,6.152732694704104,3.58351893845611
